Fecha,Tipo,Método,Concepto,Monto,Detalle
18/07/2026,Gasto,débito,No identificado,105990,Compra A Comercio Llave Otra Entidad
21/07/2026,Gasto,débito,Servicios,58570,Gas natural (Cundiboyacense)
18/07/2026,Gasto,débito,Servicios,83550,Electricidad (Enel)
18/07/2026,Gasto,débito,No identificado,20000,Transferencia A Llave Otra Entidad
16/07/2026,Ingreso,débito,No identificado,100000,Transferencia De Otra Entidad
16/07/2026,Gasto,débito,Abono a Tarjeta,603446,Pago Tarj. Credito N **1547
16/07/2026,Consignación,,,603446,
12/07/2026,Gasto,débito,No identificado,10000,Transferencia A Llave Davivienda
11/07/2026,Gasto,débito,No identificado,17500,Transferencia A Llave Otra Entidad
10/07/2026,Gasto,débito,No identificado,17000,Compra A Comercio Llave Otra Entidad
08/07/2026,Gasto,débito,No identificado,14000,Transferencia enviada a Daviplata
08/07/2026,Gasto,débito,No identificado,31000,Transferencia enviada a Daviplata
06/07/2026,Gasto,débito,No identificado,46000,Transferencia enviada a Daviplata
02/07/2026,Gasto,débito,No identificado,31000,Transferencia enviada a Daviplata
26/06/2026,Gasto,débito,No identificado,3000000,Descuento Por Transferencia De Otra Entidad
25/06/2026,Gasto,débito,Abono a Tarjeta,2305273,Pago Tarj. Credito N **1547
25/06/2026,Consignación,,,2305273,
23/06/2026,Gasto,débito,No identificado,15000,Transferencia enviada a Daviplata
23/06/2026,Ingreso,débito,Nómina,5404090,Mi salario (Abono por pago de Nómina)
18/06/2026,Gasto,débito,Servicios,49890,Gas natural (Cundiboyacense)
17/06/2026,Gasto,débito,No identificado,565606,Compra BANCO DAVIVIENDA SA
17/06/2026,Gasto,débito,No identificado,50000,Transferencia A Llave Otra Entidad
17/06/2026,Gasto,débito,Abono a Tarjeta,500000,Pago Tarj. Credito N **1547
17/06/2026,Consignación,,,500000,
17/06/2026,Gasto,débito,Servicios,74420,Electricidad (Enel)
17/06/2026,Gasto,débito,Servicios,99990,Teléfono / Internet (Movistar)
17/06/2026,Gasto,débito,No identificado,2088295,Compra EL LIBERTADOR INVESTIGACIONES
17/06/2026,Ingreso,débito,No identificado,4100000,Deposito Efectivo en Oficina
09/06/2026,Gasto,débito,No identificado,10000,Retiro en Cajero Automatico
